fragmanetAndSide,fragment,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fitstFileName,firstCroppedWidth,firstOffsetX,firstOffsetY,firstHorizontalFlip,secondFileName,secondCroppedWidth,secondOffsetX,secondOffsetY,secondHorizontalFlip,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
P589Fg002_1_P596Fg001_1,P589Fg002_P596Fg001,9,9,8,3,1,P589-Fg002-V-C01-R01-D12022013-T112400-ML638,2252,2731,934,False,P596-Fg001-V-C01-R01-D19012014-T115843-ML638,1451,3258,1600,False,"[[True, 0, 1], [True, 0, 1], [True, 0, 0], [True, 0, 0], [True, 1, 1], [True, 1, 0], [True, 1, 0], [True, 3, 1], [True, 3, 0]]","[[2500, 0, 500, 0], [2500, 0, 500, 250], [2500, 250, 500, 0], [2500, 250, 500, 250], [2500, 0, 500, 0], [2500, 0, 500, 250], [2500, 250, 500, 0], [2500, 750, 500, 0], [2500, 750, 500, 250]]","[[5225, 1338, 3955, 1878], [5225, 1338, 3955, 2128], [5225, 1588, 3955, 1878], [5225, 1588, 3955, 2128], [5225, 1338, 3955, 1878], [5225, 1338, 3955, 2128], [5225, 1588, 3955, 1878], [5225, 2088, 3955, 1878], [5225, 2088, 3955, 2128]]"
P596Fg055_1_P597Fg046_1,P596Fg055_P597Fg046,3,3,3,3,1,P596-Fg055-V-C01-R01-D22012014-T100617-ML638,1266,3306,2246,False,P597-Fg046-V-C01-R01-D01122014-T113002-ML638,1038,3247,1879,False,"[[True, 1, 1], [True, 1, 0], [True, 2, 1]]","[[250, 250, 500, 0], [250, 250, 500, 250], [250, 500, 500, 250]]","[[3885, 2667, 3922, 1981], [3885, 2667, 3922, 2231], [3885, 2917, 3922, 2231]]"
P589Fg003_1_P590Fg032_1,P589Fg003_P590Fg032,16,8,8,10,3,P589-Fg003-V-C01-R01-D12022013-T114238-ML638,1819,2872,1113,False,P590-Fg032-V-C01-R01-D14022013-T151728-ML638,2284,2640,1143,False,"[[True, 1, 5], [True, 1, 4], [True, 2, 5], [True, 2, 4], [True, 3, 5], [True, 3, 4], [True, 4, 5], [True, 4, 4]]","[[2750, 250, 1750, 1000], [2750, 250, 1750, 1250], [2750, 500, 1750, 1000], [2750, 500, 1750, 1250], [2750, 750, 1750, 1000], [2750, 750, 1750, 1250], [2750, 1000, 1750, 1000], [2750, 1000, 1750, 1250]]","[[5886, 1511, 4458, 2298], [5886, 1511, 4458, 2548], [5886, 1761, 4458, 2298], [5886, 1761, 4458, 2548], [5886, 2011, 4458, 2298], [5886, 2011, 4458, 2548], [5886, 2261, 4458, 2298], [5886, 2261, 4458, 2548]]"
P589Fg011_1_P596Fg001_1,P589Fg011_P596Fg001,6,6,6,7,2,P589-Fg011-V-C01-R01-D12022013-T125637-ML638,1795,2809,2009,False,P596-Fg001-V-C01-R01-D19012014-T115843-ML638,1451,3258,1600,False,"[[True, 0, 1], [True, 0, 0], [True, 1, 1], [True, 1, 0], [True, 2, 1], [True, 2, 0]]","[[750, 0, 500, 0], [750, 0, 500, 250], [750, 250, 500, 0], [750, 250, 500, 250], [750, 500, 500, 0], [750, 500, 500, 250]]","[[3955, 2182, 3955, 1878], [3955, 2182, 3955, 2128], [3955, 2432, 3955, 1878], [3955, 2432, 3955, 2128], [3955, 2682, 3955, 1878], [3955, 2682, 3955, 2128]]"
P589Fg010_1_P598Fg035_1,P589Fg010_P598Fg035,5,5,5,5,1,P589-Fg010-V-C01-R01-D12022013-T124806-ML638,1609,2959,1715,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 1, 2], [True, 1, 1], [True, 2, 1], [True, 3, 2], [True, 3, 1]]","[[750, 250, 1250, 250], [750, 250, 1250, 500], [750, 500, 1250, 250], [750, 750, 1250, 250], [750, 750, 1250, 500]]","[[4115, 2359, 4584, 1917], [4115, 2359, 4584, 2167], [4115, 2609, 4584, 1917], [4115, 2859, 4584, 1917], [4115, 2859, 4584, 2167]]"
P596Fg067_1_P598Fg035_1,P596Fg067_P598Fg035,4,4,4,4,1,P596-Fg067-V-C01-R01-D22012014-T120037-ML638,1071,3460,1851,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500], [500, 250, 1250, 250], [500, 250, 1250, 500]]","[[4160, 1832, 4584, 1917], [4160, 1832, 4584, 2167], [4160, 2082, 4584, 1917], [4160, 2082, 4584, 2167]]"
P589Fg011_1_P597Fg046_1,P589Fg011_P597Fg046,6,6,6,3,1,P589-Fg011-V-C01-R01-D12022013-T125637-ML638,1795,2809,2009,False,P597-Fg046-V-C01-R01-D01122014-T113002-ML638,1038,3247,1879,False,"[[True, 0, 1], [True, 1, 1], [True, 2, 1], [True, 2, 1], [True, 2, 0], [True, 3, 1]]","[[750, 500, 500, 250], [750, 0, 500, 250], [750, 250, 500, 250], [750, 500, 500, 0], [750, 500, 500, 250], [750, 750, 500, 250]]","[[3955, 2682, 3922, 2231], [3955, 2182, 3922, 2231], [3955, 2432, 3922, 2231], [3955, 2682, 3922, 1981], [3955, 2682, 3922, 2231], [3955, 2932, 3922, 2231]]"
P596Fg021_1_P598Fg035_1,P596Fg021_P598Fg035,4,4,4,4,1,P596-Fg021-V-C01-R01-D19012014-T153758-ML638,1224,3148,1747,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500], [500, 250, 1250, 250], [500, 250, 1250, 500]]","[[3908, 1891, 4584, 1917], [3908, 1891, 4584, 2167], [3908, 2141, 4584, 1917], [3908, 2141, 4584, 2167]]"
P589Fg006_1_P596Fg001_1,P589Fg006_P596Fg001,10,10,9,10,2,P589-Fg006-V-C01-R01-D12022013-T121224-ML638,4192,906,666,False,P596-Fg001-V-C01-R01-D19012014-T115843-ML638,1451,3258,1600,False,"[[True, 1, 1], [True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 4, 1], [True, 4, 0], [True, 5, 0], [True, 6, 1], [True, 7, 1], [True, 7, 0]]","[[3750, 250, 500, 0], [3750, 250, 500, 250], [3750, 500, 500, 0], [3750, 500, 500, 250], [3750, 1000, 500, 0], [3750, 1000, 500, 250], [3750, 1250, 500, 0], [3750, 1500, 500, 250], [3750, 1750, 500, 0], [3750, 1750, 500, 250]]","[[5057, 2013, 3955, 1878], [5057, 2013, 3955, 2128], [5057, 2263, 3955, 1878], [5057, 2263, 3955, 2128], [5057, 2763, 3955, 1878], [5057, 2763, 3955, 2128], [5057, 3013, 3955, 1878], [5057, 3263, 3955, 2128], [5057, 3513, 3955, 1878], [5057, 3513, 3955, 2128]]"
P596Fg056_1_P597Fg053_1,P596Fg056_P597Fg053,3,3,3,3,1,P596-Fg056-V-C01-R01-D22012014-T101455-ML638,1047,3746,2012,False,P597-Fg053-V-C01-R01-D01122014-T131604-ML638,1044,3493,1655,False,"[[True, 0, 1], [True, 0, 0], [True, 1, 1]]","[[500, 0, 750, 0], [500, 0, 750, 250], [500, 250, 750, 250]]","[[4386, 2401, 3925, 2251], [4386, 2401, 3925, 2501], [4386, 2651, 3925, 2501]]"
P589Fg003_1_P598Fg035_1,P589Fg003_P598Fg035,8,8,8,10,3,P589-Fg003-V-C01-R01-D12022013-T114238-ML638,1819,2872,1113,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 1, 2], [True, 1, 1], [True, 2, 2], [True, 2, 1], [True, 3, 2], [True, 3, 1], [True, 4, 2], [True, 4, 1]]","[[2750, 250, 1250, 250], [2750, 250, 1250, 500], [2750, 500, 1250, 250], [2750, 500, 1250, 500], [2750, 750, 1250, 250], [2750, 750, 1250, 500], [2750, 1000, 1250, 250], [2750, 1000, 1250, 500]]","[[5886, 1511, 4584, 1917], [5886, 1511, 4584, 2167], [5886, 1761, 4584, 1917], [5886, 1761, 4584, 2167], [5886, 2011, 4584, 1917], [5886, 2011, 4584, 2167], [5886, 2261, 4584, 1917], [5886, 2261, 4584, 2167]]"
P589Fg002_1_P598Fg007_1,P589Fg002_P598Fg007,28,3,3,3,1,P589-Fg002-V-C01-R01-D12022013-T112400-ML638,2252,2731,934,False,P598-Fg007-V-C01-R01-D07012014-T115107-ML638,2177,2402,1663,False,"[[True, 0, 4], [True, 1, 5], [True, 1, 4]]","[[2500, 0, 250, 1000], [2500, 250, 250, 1000], [2500, 250, 250, 1250]]","[[5225, 1338, 3131, 2928], [5225, 1588, 3131, 2928], [5225, 1588, 3131, 3178]]"
P589Fg001_1_P596Fg055_1,P589Fg001_P596Fg055,7,7,7,3,1,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,False,P596-Fg055-V-C01-R01-D22012014-T100617-ML638,1266,3306,2246,False,"[[True, 1, 1], [True, 1, 1], [True, 2, 2], [True, 2, 1], [True, 2, 1], [True, 3, 1], [True, 3, 1]]","[[1000, 250, 250, 250], [1000, 500, 250, 250], [1000, 500, 250, 500], [1000, 750, 250, 250], [1000, 250, 250, 250], [1000, 500, 250, 250], [1000, 750, 250, 250]]","[[4230, 2202, 3885, 2667], [4230, 2452, 3885, 2667], [4230, 2452, 3885, 2917], [4230, 2702, 3885, 2667], [4230, 2202, 3885, 2667], [4230, 2452, 3885, 2667], [4230, 2702, 3885, 2667]]"
P596Fg037_1_P598Fg035_1,P596Fg037_P598Fg035,4,4,4,4,1,P596-Fg037-V-C01-R01-D20012014-T121453-ML638,1112,3312,1468,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500], [500, 250, 1250, 250], [500, 250, 1250, 500]]","[[3935, 1711, 4584, 1917], [3935, 1711, 4584, 2167], [3935, 1961, 4584, 1917], [3935, 1961, 4584, 2167]]"
P589Fg001_1_P590Fg002_1,P589Fg001_P590Fg002,15,5,5,3,1,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,False,P590-Fg002-V-C01-R01-D13022013-T140623-ML638,1632,2878,1151,False,"[[True, 1, 3], [True, 1, 1], [True, 2, 3], [True, 2, 2], [True, 3, 3]]","[[1000, 250, 1250, 750], [1000, 500, 1250, 500], [1000, 500, 1250, 750], [1000, 750, 1250, 750], [1000, 250, 1250, 250]]","[[4230, 2202, 4464, 2158], [4230, 2452, 4464, 1908], [4230, 2452, 4464, 2158], [4230, 2702, 4464, 2158], [4230, 2202, 4464, 1658]]"
P589Fg006_1_P597Fg053_1,P589Fg006_P597Fg053,10,10,10,11,2,P589-Fg006-V-C01-R01-D12022013-T121224-ML638,4192,906,666,False,P597-Fg053-V-C01-R01-D01122014-T131604-ML638,1044,3493,1655,False,"[[True, 0, 1], [True, 1, 1], [True, 2, 1], [True, 2, 0], [True, 3, 1], [True, 4, 1], [True, 4, 0], [True, 5, 1], [True, 6, 1], [True, 7, 1]]","[[3750, 0, 750, 250], [3750, 250, 750, 250], [3750, 500, 750, 0], [3750, 500, 750, 250], [3750, 750, 750, 250], [3750, 1000, 750, 0], [3750, 1000, 750, 250], [3750, 1250, 750, 250], [3750, 1500, 750, 250], [3750, 1750, 750, 250]]","[[5057, 1763, 3925, 2501], [5057, 2013, 3925, 2501], [5057, 2263, 3925, 2251], [5057, 2263, 3925, 2501], [5057, 2513, 3925, 2501], [5057, 2763, 3925, 2251], [5057, 2763, 3925, 2501], [5057, 3013, 3925, 2501], [5057, 3263, 3925, 2501], [5057, 3513, 3925, 2501]]"
P596Fg005_1_P598Fg035_1,P596Fg005_P598Fg035,6,6,6,7,2,P596-Fg005-V-C01-R01-D19012014-T131036-ML638,1354,3499,1876,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1], [True, 2, 2], [True, 2, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500], [500, 250, 1250, 250], [500, 250, 1250, 500], [500, 500, 1250, 250], [500, 500, 1250, 500]]","[[4213, 2058, 4584, 1917], [4213, 2058, 4584, 2167], [4213, 2308, 4584, 1917], [4213, 2308, 4584, 2167], [4213, 2558, 4584, 1917], [4213, 2558, 4584, 2167]]"
P589Fg002_1_P590Fg032_1,P589Fg002_P590Fg032,31,15,15,10,4,P589-Fg002-V-C01-R01-D12022013-T112400-ML638,2252,2731,934,False,P590-Fg032-V-C01-R01-D14022013-T151728-ML638,2284,2640,1143,False,"[[True, 0, 5], [True, 0, 5], [True, 0, 4], [True, 0, 4], [True, 1, 5], [True, 1, 5], [True, 1, 4], [True, 1, 4], [True, 2, 5], [True, 3, 5], [True, 3, 4], [True, 4, 5], [True, 4, 4], [True, 5, 5], [True, 5, 4]]","[[2500, 0, 1750, 1000], [2500, 0, 1750, 1250], [2500, 250, 1750, 1000], [2500, 250, 1750, 1250], [2500, 0, 1750, 1000], [2500, 0, 1750, 1250], [2500, 250, 1750, 1000], [2500, 250, 1750, 1250], [2500, 500, 1750, 1250], [2500, 750, 1750, 1000], [2500, 750, 1750, 1250], [2500, 1000, 1750, 1000], [2500, 1000, 1750, 1250], [2500, 1250, 1750, 1000], [2500, 1250, 1750, 1250]]","[[5225, 1338, 4458, 2298], [5225, 1338, 4458, 2548], [5225, 1588, 4458, 2298], [5225, 1588, 4458, 2548], [5225, 1338, 4458, 2298], [5225, 1338, 4458, 2548], [5225, 1588, 4458, 2298], [5225, 1588, 4458, 2548], [5225, 1838, 4458, 2548], [5225, 2088, 4458, 2298], [5225, 2088, 4458, 2548], [5225, 2338, 4458, 2298], [5225, 2338, 4458, 2548], [5225, 2588, 4458, 2298], [5225, 2588, 4458, 2548]]"
P589Fg002_1_P596Fg081_1,P589Fg002_P596Fg081,9,4,3,3,1,P589-Fg002-V-C01-R01-D12022013-T112400-ML638,2252,2731,934,False,P596-Fg081-V-C01-R01-D22012014-T141443-ML638,1149,3346,2091,False,"[[True, 0, 0], [True, 1, 1], [True, 1, 0], [True, 3, 1]]","[[2500, 0, 250, 0], [2500, 250, 250, 0], [2500, 250, 250, 250], [2500, 750, 250, 250]]","[[5225, 1338, 4012, 2217], [5225, 1588, 4012, 2217], [5225, 1588, 4012, 2467], [5225, 2088, 4012, 2467]]"
P589Fg006_1_P598Fg035_1,P589Fg006_P598Fg035,16,16,16,22,7,P589-Fg006-V-C01-R01-D12022013-T121224-ML638,4192,906,666,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1], [True, 2, 2], [True, 2, 1], [True, 3, 2], [True, 3, 1], [True, 4, 2], [True, 4, 1], [True, 5, 2], [True, 5, 1], [True, 6, 2], [True, 6, 1], [True, 7, 2], [True, 7, 1]]","[[3750, 0, 1250, 250], [3750, 0, 1250, 500], [3750, 250, 1250, 250], [3750, 250, 1250, 500], [3750, 500, 1250, 250], [3750, 500, 1250, 500], [3750, 750, 1250, 250], [3750, 750, 1250, 500], [3750, 1000, 1250, 250], [3750, 1000, 1250, 500], [3750, 1250, 1250, 250], [3750, 1250, 1250, 500], [3750, 1500, 1250, 250], [3750, 1500, 1250, 500], [3750, 1750, 1250, 250], [3750, 1750, 1250, 500]]","[[5057, 1763, 4584, 1917], [5057, 1763, 4584, 2167], [5057, 2013, 4584, 1917], [5057, 2013, 4584, 2167], [5057, 2263, 4584, 1917], [5057, 2263, 4584, 2167], [5057, 2513, 4584, 1917], [5057, 2513, 4584, 2167], [5057, 2763, 4584, 1917], [5057, 2763, 4584, 2167], [5057, 3013, 4584, 1917], [5057, 3013, 4584, 2167], [5057, 3263, 4584, 1917], [5057, 3263, 4584, 2167], [5057, 3513, 4584, 1917], [5057, 3513, 4584, 2167]]"
P596Fg056_1_P598Fg035_1,P596Fg056_P598Fg035,5,4,4,4,1,P596-Fg056-V-C01-R01-D22012014-T101455-ML638,1047,3746,2012,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500], [500, 250, 1250, 250], [500, 250, 1250, 500]]","[[4386, 2401, 4584, 1917], [4386, 2401, 4584, 2167], [4386, 2651, 4584, 1917], [4386, 2651, 4584, 2167]]"
P596Fg055_1_P597Fg053_1,P596Fg055_P597Fg053,3,3,3,3,1,P596-Fg055-V-C01-R01-D22012014-T100617-ML638,1266,3306,2246,False,P597-Fg053-V-C01-R01-D01122014-T131604-ML638,1044,3493,1655,False,"[[True, 1, 1], [True, 1, 0], [True, 2, 1]]","[[250, 250, 750, 0], [250, 250, 750, 250], [250, 500, 750, 250]]","[[3885, 2667, 3925, 2251], [3885, 2667, 3925, 2501], [3885, 2917, 3925, 2501]]"
P589Fg010_1_P590Fg032_1,P589Fg010_P590Fg032,12,6,6,7,2,P589-Fg010-V-C01-R01-D12022013-T124806-ML638,1609,2959,1715,False,P590-Fg032-V-C01-R01-D14022013-T151728-ML638,2284,2640,1143,False,"[[True, 1, 5], [True, 1, 4], [True, 2, 5], [True, 2, 4], [True, 3, 5], [True, 3, 4]]","[[750, 250, 1750, 1000], [750, 250, 1750, 1250], [750, 500, 1750, 1000], [750, 500, 1750, 1250], [750, 750, 1750, 1000], [750, 750, 1750, 1250]]","[[4115, 2359, 4458, 2298], [4115, 2359, 4458, 2548], [4115, 2609, 4458, 2298], [4115, 2609, 4458, 2548], [4115, 2859, 4458, 2298], [4115, 2859, 4458, 2548]]"
P589Fg011_1_P598Fg035_1,P589Fg011_P598Fg035,8,8,8,10,3,P589-Fg011-V-C01-R01-D12022013-T125637-ML638,1795,2809,2009,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1], [True, 2, 2], [True, 2, 1], [True, 3, 2], [True, 3, 1]]","[[750, 0, 1250, 250], [750, 0, 1250, 500], [750, 250, 1250, 250], [750, 250, 1250, 500], [750, 500, 1250, 250], [750, 500, 1250, 500], [750, 750, 1250, 250], [750, 750, 1250, 500]]","[[3955, 2182, 4584, 1917], [3955, 2182, 4584, 2167], [3955, 2432, 4584, 1917], [3955, 2432, 4584, 2167], [3955, 2682, 4584, 1917], [3955, 2682, 4584, 2167], [3955, 2932, 4584, 1917], [3955, 2932, 4584, 2167]]"
P589Fg010_1_P597Fg053_1,P589Fg010_P597Fg053,5,5,5,5,1,P589-Fg010-V-C01-R01-D12022013-T124806-ML638,1609,2959,1715,False,P597-Fg053-V-C01-R01-D01122014-T131604-ML638,1044,3493,1655,False,"[[True, 1, 1], [True, 1, 0], [True, 2, 1], [True, 3, 1], [True, 3, 0]]","[[750, 250, 750, 0], [750, 250, 750, 250], [750, 500, 750, 250], [750, 750, 750, 0], [750, 750, 750, 250]]","[[4115, 2359, 3925, 2251], [4115, 2359, 3925, 2501], [4115, 2609, 3925, 2501], [4115, 2859, 3925, 2251], [4115, 2859, 3925, 2501]]"
P589Fg001_1_P590Fg015_1,P589Fg001_P590Fg015,21,6,6,4,1,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,False,P590-Fg015-V-C01-R01-D14022013-T111212-ML638,1057,3249,1530,False,"[[True, 1, 0], [True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 3, 0], [True, 3, 0]]","[[1000, 250, 250, 0], [1000, 500, 250, 0], [1000, 500, 250, 250], [1000, 750, 250, 0], [1000, 250, 250, 0], [1000, 750, 250, 0]]","[[4230, 2202, 3748, 1858], [4230, 2452, 3748, 1858], [4230, 2452, 3748, 2108], [4230, 2702, 3748, 1858], [4230, 2202, 3748, 1858], [4230, 2702, 3748, 1858]]"
P596Fg044_1_P598Fg035_1,P596Fg044_P598Fg035,4,4,4,4,1,P596-Fg044-V-C01-R01-D20012014-T141552-ML638,1115,3447,1704,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1]]","[[750, 0, 1250, 250], [750, 0, 1250, 500], [750, 250, 1250, 250], [750, 250, 1250, 500]]","[[4523, 1822, 4584, 1917], [4523, 1822, 4584, 2167], [4523, 2072, 4584, 1917], [4523, 2072, 4584, 2167]]"
P589Fg001_1_P596Fg073_1,P589Fg001_P596Fg073,8,5,5,4,1,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,False,P596-Fg073-V-C01-R01-D22012014-T130619-ML638,1001,3538,1984,False,"[[True, 1, 0], [True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 3, 0]]","[[1000, 250, 500, 0], [1000, 500, 500, 0], [1000, 500, 500, 250], [1000, 750, 500, 0], [1000, 250, 500, 0]]","[[4230, 2202, 4325, 2145], [4230, 2452, 4325, 2145], [4230, 2452, 4325, 2395], [4230, 2702, 4325, 2145], [4230, 2202, 4325, 2145]]"
P596Fg056_1_P597Fg018_1,P596Fg056_P597Fg018,3,3,3,3,1,P596-Fg056-V-C01-R01-D22012014-T101455-ML638,1047,3746,2012,False,P597-Fg018-V-C01-R01-D30112014-T140441-ML638,1234,3213,1814,False,"[[True, 0, 1], [True, 0, 0], [True, 1, 1]]","[[500, 0, 750, 0], [500, 0, 750, 250], [500, 250, 750, 250]]","[[4386, 2401, 3904, 2111], [4386, 2401, 3904, 2361], [4386, 2651, 3904, 2361]]"
P589Fg002_1_P597Fg053_1,P589Fg002_P597Fg053,9,9,8,3,1,P589-Fg002-V-C01-R01-D12022013-T112400-ML638,2252,2731,934,False,P597-Fg053-V-C01-R01-D01122014-T131604-ML638,1044,3493,1655,False,"[[True, 0, 1], [True, 0, 1], [True, 0, 0], [True, 1, 1], [True, 1, 1], [True, 1, 0], [True, 3, 1], [True, 4, 1], [True, 5, 1]]","[[2500, 0, 750, 0], [2500, 0, 750, 250], [2500, 250, 750, 0], [2500, 250, 750, 250], [2500, 0, 750, 250], [2500, 250, 750, 250], [2500, 750, 750, 250], [2500, 1000, 750, 250], [2500, 1250, 750, 250]]","[[5225, 1338, 3925, 2251], [5225, 1338, 3925, 2501], [5225, 1588, 3925, 2251], [5225, 1588, 3925, 2501], [5225, 1338, 3925, 2501], [5225, 1588, 3925, 2501], [5225, 2088, 3925, 2501], [5225, 2338, 3925, 2501], [5225, 2588, 3925, 2501]]"
P589Fg001_1_P598Fg035_1,P589Fg001_P598Fg035,14,12,12,2,2,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 1, 2], [True, 1, 2], [True, 1, 1], [True, 1, 1], [True, 2, 2], [True, 2, 2], [True, 2, 1], [True, 2, 1], [True, 3, 2], [True, 3, 2], [True, 3, 1], [True, 3, 1]]","[[1000, 250, 1250, 250], [1000, 250, 1250, 500], [1000, 500, 1250, 250], [1000, 500, 1250, 500], [1000, 750, 1250, 250], [1000, 750, 1250, 500], [1000, 250, 1250, 250], [1000, 250, 1250, 500], [1000, 500, 1250, 250], [1000, 500, 1250, 500], [1000, 750, 1250, 250], [1000, 750, 1250, 500]]","[[4230, 2202, 4584, 1917], [4230, 2202, 4584, 2167], [4230, 2452, 4584, 1917], [4230, 2452, 4584, 2167], [4230, 2702, 4584, 1917], [4230, 2702, 4584, 2167], [4230, 2202, 4584, 1917], [4230, 2202, 4584, 2167], [4230, 2452, 4584, 1917], [4230, 2452, 4584, 2167], [4230, 2702, 4584, 1917], [4230, 2702, 4584, 2167]]"
P589Fg003_1_P596Fg001_1,P589Fg003_P596Fg001,6,6,5,5,1,P589-Fg003-V-C01-R01-D12022013-T114238-ML638,1819,2872,1113,False,P596-Fg001-V-C01-R01-D19012014-T115843-ML638,1451,3258,1600,False,"[[True, 1, 1], [True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 4, 1], [True, 4, 0]]","[[2750, 250, 500, 0], [2750, 250, 500, 250], [2750, 500, 500, 0], [2750, 500, 500, 250], [2750, 1000, 500, 0], [2750, 1000, 500, 250]]","[[5886, 1511, 3955, 1878], [5886, 1511, 3955, 2128], [5886, 1761, 3955, 1878], [5886, 1761, 3955, 2128], [5886, 2261, 3955, 1878], [5886, 2261, 3955, 2128]]"
P596Fg056_1_P597Fg046_1,P596Fg056_P597Fg046,3,3,3,3,1,P596-Fg056-V-C01-R01-D22012014-T101455-ML638,1047,3746,2012,False,P597-Fg046-V-C01-R01-D01122014-T113002-ML638,1038,3247,1879,False,"[[True, 0, 1], [True, 0, 0], [True, 1, 1]]","[[500, 0, 500, 0], [500, 0, 500, 250], [500, 250, 500, 250]]","[[4386, 2401, 3922, 1981], [4386, 2401, 3922, 2231], [4386, 2651, 3922, 2231]]"
P589Fg002_1_P593Fg016_1,P589Fg002_P593Fg016,20,7,6,3,1,P589-Fg002-V-C01-R01-D12022013-T112400-ML638,2252,2731,934,False,P593-Fg016-V-C01-R01-D31122013-T093806-ML638,1044,2842,1766,False,"[[True, 0, 3], [True, 0, 3], [True, 0, 2], [True, 1, 3], [True, 1, 3], [True, 1, 2], [True, 3, 3]]","[[2500, 0, 250, 500], [2500, 0, 250, 750], [2500, 250, 250, 500], [2500, 250, 250, 750], [2500, 0, 250, 750], [2500, 250, 250, 750], [2500, 750, 250, 750]]","[[5225, 1338, 3468, 2398], [5225, 1338, 3468, 2648], [5225, 1588, 3468, 2398], [5225, 1588, 3468, 2648], [5225, 1338, 3468, 2648], [5225, 1588, 3468, 2648], [5225, 2088, 3468, 2648]]"
P596Fg037_1_P597Fg053_1,P596Fg037_P597Fg053,3,3,3,3,1,P596-Fg037-V-C01-R01-D20012014-T121453-ML638,1112,3312,1468,False,P597-Fg053-V-C01-R01-D01122014-T131604-ML638,1044,3493,1655,False,"[[True, 0, 1], [True, 0, 0], [True, 1, 1]]","[[500, 0, 750, 0], [500, 0, 750, 250], [500, 250, 750, 250]]","[[3935, 1711, 3925, 2251], [3935, 1711, 3925, 2501], [3935, 1961, 3925, 2501]]"
P596Fg001_1_P598Fg035_1,P596Fg001_P598Fg035,7,7,7,8,2,P596-Fg001-V-C01-R01-D19012014-T115843-ML638,1451,3258,1600,False,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,False,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1], [True, 2, 2], [True, 2, 1], [True, 3, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500], [500, 250, 1250, 250], [500, 250, 1250, 500], [500, 500, 1250, 250], [500, 500, 1250, 500], [500, 750, 1250, 250]]","[[3955, 1878, 4584, 1917], [3955, 1878, 4584, 2167], [3955, 2128, 4584, 1917], [3955, 2128, 4584, 2167], [3955, 2378, 4584, 1917], [3955, 2378, 4584, 2167], [3955, 2628, 4584, 1917]]"
